,productName,form,regularPrice,unitPrice,productURL,productSize,averageRating,reviewCount,inactiveIngredients
0,Adult Multivitamin Tablets,Tablets,$14.99,0.07,/store/c/walgreens-adult-multivitamin-tablets/ID=prod6377739-product,200 ea ,4.5,43,"Calcium Carbonate,Potassium Chloride,Dicalcium Phosphate,Magnesium Oxide,Microcrystalline Cellulose,Ascorbic Acid,Ferrous Fumarate,Maltodextrin,Contains 2% or less of beta-carotene,biotin,carboxymethylcellulose sodium,cholecalciferol,chromium picolinate,cupric sulfate,cyanocobalamin,D-calcium pantothenate,dl-alpha tocopheryl acetate,DL-tartaric acid,FD&C blue no. 2 lake,FD&C red no. 40 lake,FD&C yellow no. 6 lake,folic acid,hydroxypropyl methylcellulose,magnesium stearate,manganese sulfate,nicotinamide,phytonadione,polydextrose,polyethylene glycol,polyvinyl alcohol,potassium iodide,pyridoxine hydrochloride,retinyl acetate,riboflavin,silica,sodium metavanadate,sodium molybdate,sodium selenite,stannous chloride,starch,talc,thiamine mononitrate,titanium dioxide (color),tricalcium phosphate,zinc oxide"
1,Multivitamin For Her Tablets,Tablets,$13.99,0.16,/store/c/nature-made-multivitamin-for-her-tablets/ID=prod360157-product,90 ea ,4.5,126,"Cellulose Gel,Modified Food Starch,Maltodextrin,Croscarmellose Sodium,Hypromellose,Magnesium Stearate,Silicon Dioxide,Gelatin,Polyethylene Glycol"
2,"Men 50+ Multivitamin Tablets, Gluten Free",Tablets,$15.99,0.08,"/store/c/walgreens-men-50--multivitamin-tablets,-gluten-free/ID=prod6358119-product?skuId=sku6315643",200 ea ,4.5,57,"Calcium Carbonate,Potassium Chloride,Magnesium Oxide,Ascorbic Acid,Dicalcium Phosphate,Microcrystalline Cellulose,dl-Alpha Tocopheryl Acetate,Starch,Maltodextrin,Contains 2% or less of beta-carotene,biotin,carboxymethylcellulose sodium,cholecalciferol,chromium picolinate,cupric sulfate,cyanocobalamin,D-calcium pantothenate,DL-tartaric acid,FD&C blue no. 2 lake,FD&C red no. 40 lake,FD&C yellow no. 6 lake,folic acid,hydroxypropyl methylcellulose,lutein,lycopene,magnesium stearate,manganese sulfate,nicotinamide,phytonadione,polydextrose,polyethylene glycol,polyvinyl alcohol,potassium iodide,pyridoxine hydrochloride,retinyl acetate,riboflavin,silica,sodium metavanadate,sodium molybdate,sodium selenite,talc,thiamine mononitrate,titanium dioxide (color),tricalcium phosphate,zinc oxide"
3,"MultiVites Gummy Vitamins Natural Berry, Peach & Orange",Gummies,$15.99,0.11,"/store/c/vitafusion-multivites-gummy-vitamins-natural-berry,-peach-%26-orange/ID=prod6015953-product",150 ea ,4.5,553,"Glucose Syrup,Sugar,Water,Gelatin,Less than 2% of: Blend of Oils with Beeswax and/or Carnauba WaxCoconut and/or Palm,Citric Acid,ColorsAnnatto Extract ,Blueberry and Carrot Concentrates,Lactic Acid,and Natural Flavors"
4,Women's 50+ Multivitamin,na,$15.99,0.08,/store/c/walgreens-women's-50--multivitamin/ID=prod6358096-product?skuId=sku6315630,200 ea ,4.5,136,"Calcium Carbonate,Magnesium Oxide,Potassium Chloride,Ascorbic Acid,Dicalcium Phosphate,Microcrystalline Cellulose,Starch,Maltodextrin,Contains 2% or less of: beta-carotene,biotin,carboxymethylcellulose sodium,cholecalciferol,chromium picolinate,cupric sulfate,cyanocobalamin,D-calcium pantothenate,dl-alpha tocopheryl acetate,DL-tartaric acid,FD&C blue no. 2 lake,FD&C red no. 40 lake,FD&C yellow no. 6 lake,ferrous fumarate,folic acid,hydroxypropyl methylcellulose,lutein,magnesium stearate,manganese sulfate,nicotinamide,phytonadione,polydextrose,polyethylene glycol,polyvinyl alcohol,potassium iodide,pyridoxine hydrochloride,retinyl acetate,riboflavin,silica,sodium metavanadate,sodium molybdate,sodium selenite,talc,thiamine mononitrate,titanium dioxide (color),tricalcium phosphate,zinc oxide"
5,"Adult 50+ Multivitamin Tablets, Gluten Free",Tablets,$29.99,0.07,"/store/c/walgreens-adult-50--multivitamin-tablets,-gluten-free/ID=prod6358141-product?skuId=sku6291691",400 ea ,4.5,121,"Calcium Carbonate,Potassium Chloride,Dicalcium Phosphate,Magnesium Oxide,Ascorbic Acid,Microcrystalline Cellulose,dl-Alpha Tocopheryl Acetate,Maltodextrin,Starch,Contains 2% or less of: beta-carotene,biotin,carboxymethylcellulose sodium,cholecalciferol,chromium picolinate,cupric sulfate,cyanocobalamin,D-calcium pantothenate,DL-tartaric acid,FD&C blue no. 2 lake,FD&C red no. 40 lake,FD&C yellow no. 6 lake,folic acid,hydroxypropyl methylcellulose,lutein,lycopene,magnesium stearate,manganese sulfate,nicotinamide,phytonadione,polydextrose,polyethylene glycol,polyvinyl alcohol,potassium iodide,pyridoxine hydrochloride,retinyl acetate,riboflavin,silica,sodium metavanadate,sodium molybdate,sodium selenite,talc,thiamine mononitrate,titanium dioxide (color),tricalcium phosphate,zinc oxide"
6,"Women's Multivitamin + Omega-3 Gummies Lemon, Orange & Strawberry",na,$16.99,0.21,"/store/c/nature-made-women's-multivitamin---omega-3-gummies-lemon,-orange-%26-strawberry/ID=prod6358215-product",80 ea ,4.5,316,"Glucose Syrup,Sugar,Water,Gelatin,Citric Acid,Pectin,Natural Flavors,Malic Acid,Lactic Acid,Calcium Lactate,Colors Added (Including Carmine),Tocopherols"
7,Multivitamin for Men 50 Plus,Tablets,$11.99,0.12,/store/c/centrum-multivitamin-for-men-50-plus/ID=300417438-product?skuId=400638465,100 ea ,4.5,122,"Calcium Carbonate,Potassium Chloride,Magnesium Oxide,Ascorbic Acid (Vit. C),Dibasic Calcium Phosphate,Microcrystalline Cellulose,Gelatin,DL-alpha Tocopheryl Acetate (Vit. E),Maltodextrin,Contains Less Than 2% of: Ascorbyl Palmitate (to preserve freshness),Beta-Carotene,BHT (to preserve freshness),Biotin,Blue 2 Lake,Calcium Pantothenate,Cholecalciferol (Vit. D3),Chromium Picolinate,Copper Sulfate,Croscarmellose Sodium,Crospovidone,Cyanocobalamin (Vit. B12),Folic Acid,Hypromellose,Lutein,Lycopene,Magnesium Stearate,Manganese Sulfate,Medium-Chain Triglycerides,Niacinamide,Phytonadione (Vit. K),Polydextrose,Potassium Iodide,Pyridoxine Hydrochloride (Vit. B6),Red 40 Lake,Riboflavin (Vit. B2),Silicon Dioxide,Sodium Ascorbate (to preserve freshness),Sodium Benzoate (to preserve freshness),Sodium Molybdate,Sodium Selenate,Sorbic Acid (to preserve freshness),Stearic Acid,Thiamine Mononitrate (Vit B1),Titanium Dioxide (color),Tocopherols (to preserve freshness),Vitamin A Acetate,Yellow 6 Lake,Zinc Oxide."
8,"Adult Multivitamin Gummies Berry, Orange, Peach",Gummies,$11.99,0.08,"/store/c/walgreens-adult-multivitamin-gummies-berry,-orange,-peach/ID=300418364-product",150 ea ,4.5,10,"Malt Syrup,Sugar,Purified Water USP,ascorbic acid,biotin,black/purple carrot juice concentrate (color),boron citrate,carnauba wax,cholecalciferol,chromium picolinate,citric acid,cyanocobalamin,D-calcium pantothenate,dl-alpha tocopheryl acetate,folic acid,inositol Hexanicotinate,medium chain triglycerides,natural flavorsmixed berry ,orange ,peach,pectin,pyridoxine hydrochloride,retinyl palmitate,sodium ascorbate,sodium citrate,sodium molybdate.,Contains 2% or less of annatto (color)"
9,One Daily Women's Multivitamin,Tablets,$7.99,0.08,/store/c/walgreens-one-daily-women's-multivitamin/ID=300395160-product?skuId=sku6315662,100 ea ,4.5,46,"Calcium Carbonate,Starch,Microcrystalline Cellulose,Maltodextrin,Ascorbic Acid,Ferrous Fumarate,Sodium Starch Glycolate,Contains 2% or Less of Beta-Carotene,BHT,Biotin,Calcium Phosphate,Carboxymethylcellulose Sodium,Cholecalciferol,Chromium Chloride,Cupric Oxide,Cyanocobalamin,D-Calcium Pantothenate,dl-Alpha Tocopherol,dl-Alpha Tocopheryl Acetate,DL-Tartaric Acid,FD&C Blue 2 Lake,FD&C Yellow 5 Lake,Tartrazine,FD&C 6 Lake,Folic Acid,Gelatin,Glucose,Gum Arabic,Hydroxypropyl Methylcellulose,Magnesium Stearate,Manganese Sulfate,Medium Chain Triglycerides,Nicotinamide,Phytonadione,Polydextrose,Polyethylene Glycol,Polyvinyl Alcohol,Potassium Iodide,Pyridoxine Hydrochloride,Retinyl Acetate,Riboflavin,Silicon Dioxide,Sodium Ascorbate,Sodium Benzoate,Sodium Selenite,Sorbic Acid,Sucrose,Sunflower Oil,Talc,Thiamine Mononitrate,Titanium Dioxide (Color),Tocopherol,Zinc Oxide. May Contain Crospovidone,Sodium Chloride,Stearic Acid,Contains FD&C Yellow 5 Lake - Tartrazine as a Color Additive."
